,Date,close,volume,ttm_net_eps,pe_ratio,ttm_sales_per_share,book_value_per_share,ttm_fcf_per_share,current_assets,current_ratio,current_assets___inventory,quick_ratio,total_liabilities,debt_to_equity_ratio,return_on_equity,return_on_assets,tangible_equity,return_on_tangible_equity,current_liabilities,shareholder's_equity,ttm_net_income,cash_on_hand,total_share_holder_equity,revenue,gross_profit,operating_income,ebitda,net_income,eps_earnings_per_share_diluted,ps_ratio,pb_ratio,pfcf_ratio,total_assets,Industry,Ticker,pe_ratio_industry_avg
10,2011-09-30,46.839739680625,9222254.6875,4.18,11.56698565,22.79,22.67,4.71,52.67,2.51,46.26,2.2,49.98,0.8,19.69,11.02,27.51,45.54,20.99,62.13,11.61,29682.0,62132.0,16597.0,11425.0,3422.0,4346.0,2776.0,1.0,2.121544537,2.132774592,10.26539278,112.11,Healthcare,JNJ,11.307551287625
11,2011-12-31,46.73811001285714,8923300.0,4.1,11.3902439,23.17,22.52,4.62,53.44,2.46,47.02,2.17,50.29,0.82,18.99,10.48,27.25,43.67,21.69,61.53,11.4,30927.0,61527.0,16005.0,10933.0,4111.0,5045.0,3202.0,1.15,2.015537333,2.073712256,10.10822511,111.82,Healthcare,JNJ,9.203596208375
12,2012-03-31,47.99932738322581,4959700.0,3.48,13.94827586,23.42,20.95,4.59,54.32,2.38,48.03,2.11,56.56,0.99,16.08,8.68,22.8,37.7,22.81,57.08,9.67,32261.0,57080.0,16255.0,10917.0,318.0,1379.0,218.0,0.09,2.072587532,2.316945107,10.5751634,113.64,Healthcare,JNJ,9.954576750125
13,2012-06-30,47.903408474126984,11307700.0,3.64,13.53021978,23.4,22.35,4.83,57.01,2.69,50.21,2.37,54.83,0.89,16.7,8.91,26.87,38.71,21.2,61.37,10.11,33847.0,61366.0,16139.0,11224.0,5045.0,5982.0,3910.0,1.41,2.104700855,2.203579418,10.19668737,116.19,Healthcare,JNJ,10.06215656775
14,2012-09-30,51.29482414571429,18286000.0,3.14,16.21974522,23.32,21.97,5.05,41.62,1.75,33.92,1.42,55.32,0.92,14.54,7.64,9.82,40.29,23.85,60.43,8.74,16915.0,60434.0,16475.0,11332.0,2035.0,3044.0,1408.0,0.5,2.183962264,2.318161129,10.08514851,115.75,Healthcare,JNJ,10.944599655875
15,2012-12-31,53.05142544096774,10283488.709677419,3.04,17.24342105,23.61,23.08,5.02,44.79,1.87,36.98,1.55,55.19,0.87,14.02,7.32,13.19,46.8,23.94,63.76,8.5,19771.0,63761.0,17052.0,11455.0,3595.0,4750.0,2968.0,1.05,2.220245659,2.271230503,10.44223108,118.95,Healthcare,JNJ,12.893316887874999
16,2013-03-31,57.841409047166664,9691100.0,3.87,13.89922481,24.0,23.33,4.97,46.12,1.9,38.62,1.59,56.52,0.87,17.34,9.19,13.65,68.33,24.26,64.83,10.85,21089.0,64826.0,17558.0,11555.0,3100.0,4261.0,2567.0,0.9,2.24125,2.305615088,10.82293763,121.35,Healthcare,JNJ,12.003429725777778
17,2013-06-30,65.35491234078125,11332100.0,3.68,17.13586957,24.3,23.85,4.64,47.23,2.1,39.54,1.76,54.68,0.82,16.32,8.74,16.5,78.55,22.52,66.86,10.44,21668.0,66855.0,17505.0,11951.0,4261.0,5443.0,3497.0,1.22,2.595061728,2.644025157,13.59051724,121.54,Healthcare,JNJ,14.680947031777777
18,2013-09-30,69.60587275140625,11795750.0,4.51,14.83813747,24.6,24.75,4.71,51.27,2.16,43.45,1.83,54.66,0.79,19.41,10.59,19.62,81.73,23.77,69.67,12.87,25129.0,69665.0,17877.0,12388.0,4793.0,5918.0,3833.0,1.33,2.720325203,2.703838384,14.20806794,124.33,Healthcare,JNJ,15.22364472922222
19,2013-12-31,72.0339150428125,5444053.125,4.5,15.12666667,24.65,24.75,4.94,52.18,2.02,44.05,1.71,57.13,0.82,19.0,10.43,18.49,75.47,25.84,69.8,12.88,25228.0,69804.0,17575.0,12231.0,3667.0,4766.0,2982.0,1.04,2.761460446,2.75030303,13.77935223,126.93,Healthcare,JNJ,13.990938475222224
